(-3750.0,-3750.0) name=SIOH_jogs_0, ports=DDDDD, mode=TE, submitter='sequoiac', grouping=1
(-3420.0,-3750.0) name=SIOH_jogs_1, ports=DDDDD, mode=TE, submitter='sequoiac', grouping=1
(-3090.0,-3750.0) name=SIOH_jogs_2, ports=DDDDD, mode=TE, submitter='sequoiac', grouping=1
(-2760.0,-3750.0) name=SIOH_jogs_3, ports=DDDDD, mode=TE, submitter='sequoiac', grouping=1
(-3030.0,-3125.0) name=MZI2, ports=DDDD, mode=TE, submitter='sequoiac', grouping=1
(-2850.0,-3125.0) name=MZI3, ports=DDDD, mode=TE, submitter='sequoiac', grouping=1
(-2670.0,-3125.0) name=MZI4, ports=DDDD, mode=TE, submitter='sequoiac', grouping=1
(-3030.0,-1865.0) name=MZI2, ports=DDDD, mode=TE, submitter='sequoiac', grouping=1
(-2850.0,-1865.0) name=MZI3, ports=DDDD, mode=TE, submitter='sequoiac', grouping=1
(-2670.0,-1865.0) name=MZI4, ports=DDDD, mode=TE, submitter='sequoiac', grouping=1
(-2790.0,-1360.0) name=C0_r10, ports=DD, mode=TE, submitter='sequoiac', grouping=1
(-2590.0,-1360.0) name=C0_r20, ports=DD, mode=TE, submitter='sequoiac', grouping=1
(-2390.0,-1360.0) name=C0_r30, ports=DD, mode=TE, submitter='sequoiac', grouping=1
(-2190.0,-1360.0) name=C0_r40, ports=DD, mode=TE, submitter='sequoiac', grouping=1
(-1940.0,-1360.0) name=C0_r50, ports=DD, mode=TE, submitter='sequoiac', grouping=1
(-2790.0,-1060.0) name=C0_l0, ports=DD, mode=TE, submitter='sequoiac', grouping=1
(-2590.0,-1060.0) name=C0_l1, ports=DD, mode=TE, submitter='sequoiac', grouping=1
(-2390.0,-1060.0) name=C0_l2, ports=DD, mode=TE, submitter='sequoiac', grouping=1
(-2190.0,-1060.0) name=C0_l3, ports=DD, mode=TE, submitter='sequoiac', grouping=1
(-1940.0,-1060.0) name=C0_l4, ports=DD, mode=TE, submitter='sequoiac', grouping=1
(-3750.0,-300.0) name=MZI2, ports=DDDD, mode=TE, submitter='sequoiac', grouping=1
(-3570.0,-300.0) name=MZI3, ports=DDDD, mode=TE, submitter='sequoiac', grouping=1
(-3390.0,-300.0) name=MZI4, ports=DDDD, mode=TE, submitter='sequoiac', grouping=1
(-2310.0,-1865.0) name=MZI2, ports=DDDD, mode=TE, submitter='sequoiac', grouping=1
(-2130.0,-1865.0) name=MZI3, ports=DDDD, mode=TE, submitter='sequoiac', grouping=1
(-1950.0,-1865.0) name=MZI4, ports=DDDD, mode=TE, submitter='sequoiac', grouping=1
(-3750.0,-1865.0) name=MZI2, ports=DDDD, mode=TE, submitter='sequoiac', grouping=1
(-3570.0,-1865.0) name=MZI3, ports=DDDD, mode=TE, submitter='sequoiac', grouping=1
(-3390.0,-1865.0) name=MZI4, ports=DDDD, mode=TE, submitter='sequoiac', grouping=1
(-3070.0,-1360.0) name=filters, ports=DDDDD, mode=TE, submitter='sequoiac', grouping=1
(-2930.0,-1360.0) name=filters, ports=DDDDD, mode=TE, submitter='sequoiac', grouping=1
(-3322.2,-1360.0) name=circuit, ports=DDDDDD, mode=TE, submitter='sequoiac', grouping=1
(-3198.81,-1360.0) name=circuit, ports=DDDDDD, mode=TE, submitter='sequoiac', grouping=1
(-3750.0,-1360.0) name=C0_100, ports=DDDD, mode=TE, submitter='sequoiac', grouping=1
(-3670.0,-1360.0) name=C0_200, ports=DDDD, mode=TE, submitter='sequoiac', grouping=1
(-3590.0,-1360.0) name=C0_300, ports=DDDD, mode=TE, submitter='sequoiac', grouping=1
(-3420.0,-1360.0) name=C0_500, ports=DDDD, mode=TE, submitter='sequoiac', grouping=1
(-3510.0,-1360.0) name=C0_400, ports=DDDD, mode=TE, submitter='sequoiac', grouping=1
(-3750.0,-3125.0) name=MZI2, ports=DDDD, mode=TE, submitter='sequoiac', grouping=1
(-3570.0,-3125.0) name=MZI3, ports=DDDD, mode=TE, submitter='sequoiac', grouping=1
(-3390.0,-3125.0) name=MZI4, ports=DDDD, mode=TE, submitter='sequoiac', grouping=1
(-3745.92,-2625.0) name=opt_hybrid_jogs_0, ports=DDDDDD, mode=TE, submitter='sequoiac', grouping=1
(-3505.92,-2625.0) name=opt_hybrid_jogs_1, ports=DDDDDD, mode=TE, submitter='sequoiac', grouping=1
(-3265.92,-2625.0) name=opt_hybrid_jogs_2, ports=DDDDDD, mode=TE, submitter='sequoiac', grouping=1
(-3025.92,-2625.0) name=opt_hybrid_jogs_3, ports=DDDDDD, mode=TE, submitter='sequoiac', grouping=1
(-2310.0,-3125.0) name=MZI2, ports=DDDD, mode=TE, submitter='sequoiac', grouping=1
(-2130.0,-3125.0) name=MZI3, ports=DDDD, mode=TE, submitter='sequoiac', grouping=1
(-1950.0,-3125.0) name=MZI4, ports=DDDD, mode=TE, submitter='sequoiac', grouping=1
(-2418.81,-3750.0) name=SIOH_dc_jogs_0, ports=DDDDD, mode=TE, submitter='sequoiac', grouping=1
(-2228.81,-3750.0) name=SIOH_dc_jogs_1, ports=DDDDD, mode=TE, submitter='sequoiac', grouping=1
(-2038.81,-3750.0) name=SIOH_dc_jogs_2, ports=DDDDD, mode=TE, submitter='sequoiac', grouping=1
(-1848.81,-3750.0) name=SIOH_dc_jogs_3, ports=DDDDD, mode=TE, submitter='sequoiac', grouping=1
(-2718.38,-2625.0) name=DIOH_dc_jogs_0, ports=DDDDDD, mode=TE, submitter='sequoiac', grouping=1
(-2478.38,-2625.0) name=DIOH_dc_jogs_1, ports=DDDDDD, mode=TE, submitter='sequoiac', grouping=1
(-2238.38,-2625.0) name=DIOH_dc_jogs_2, ports=DDDDDD, mode=TE, submitter='sequoiac', grouping=1
(-1998.38,-2625.0) name=DIOH_dc_jogs_3, ports=DDDDDD, mode=TE, submitter='sequoiac', grouping=1
(-3750.0,450.0) name=SIOH_jogs_0, ports=DDDDD, mode=TE, submitter='sequoiac', grouping=2
(-3420.0,450.0) name=SIOH_jogs_1, ports=DDDDD, mode=TE, submitter='sequoiac', grouping=2
(-3090.0,450.0) name=SIOH_jogs_2, ports=DDDDD, mode=TE, submitter='sequoiac', grouping=2
(-2760.0,450.0) name=SIOH_jogs_3, ports=DDDDD, mode=TE, submitter='sequoiac', grouping=2
(-3030.0,1075.0) name=MZI2, ports=DDDD, mode=TE, submitter='sequoiac', grouping=2
(-2850.0,1075.0) name=MZI3, ports=DDDD, mode=TE, submitter='sequoiac', grouping=2
(-2670.0,1075.0) name=MZI4, ports=DDDD, mode=TE, submitter='sequoiac', grouping=2
(-3030.0,2335.0) name=MZI2, ports=DDDD, mode=TE, submitter='sequoiac', grouping=2
(-2850.0,2335.0) name=MZI3, ports=DDDD, mode=TE, submitter='sequoiac', grouping=2
(-2670.0,2335.0) name=MZI4, ports=DDDD, mode=TE, submitter='sequoiac', grouping=2
(-2790.0,2840.0) name=C0_r10, ports=DD, mode=TE, submitter='sequoiac', grouping=2
(-2590.0,2840.0) name=C0_r20, ports=DD, mode=TE, submitter='sequoiac', grouping=2
(-2390.0,2840.0) name=C0_r30, ports=DD, mode=TE, submitter='sequoiac', grouping=2
(-2190.0,2840.0) name=C0_r40, ports=DD, mode=TE, submitter='sequoiac', grouping=2
(-1940.0,2840.0) name=C0_r50, ports=DD, mode=TE, submitter='sequoiac', grouping=2
(-2790.0,3140.0) name=C0_l0, ports=DD, mode=TE, submitter='sequoiac', grouping=2
(-2590.0,3140.0) name=C0_l1, ports=DD, mode=TE, submitter='sequoiac', grouping=2
(-2390.0,3140.0) name=C0_l2, ports=DD, mode=TE, submitter='sequoiac', grouping=2
(-2190.0,3140.0) name=C0_l3, ports=DD, mode=TE, submitter='sequoiac', grouping=2
(-1940.0,3140.0) name=C0_l4, ports=DD, mode=TE, submitter='sequoiac', grouping=2
(-3750.0,3900.0) name=MZI2, ports=DDDD, mode=TE, submitter='sequoiac', grouping=2
(-3570.0,3900.0) name=MZI3, ports=DDDD, mode=TE, submitter='sequoiac', grouping=2
(-3390.0,3900.0) name=MZI4, ports=DDDD, mode=TE, submitter='sequoiac', grouping=2
(-2310.0,2335.0) name=MZI2, ports=DDDD, mode=TE, submitter='sequoiac', grouping=2
